Country,Region,Happiness_Rank,Happiness_Score,Freedom,Family,Standard_Error,Trust(Government_Corruption),Health(Life_Expectancy),Economy(GDP_per_capita),Generosity,Dystopia_Residual,Whisker_high,Whisker_low,Lat,Lng
Afghanistan,Southern Asia,153,3.575,0.23414000000000001,0.30285,0.03084,0.09719,0.30335,0.31982,0.311870932579041,2.15080118179321,3.8736614152789106,3.71433840543032,33.93911,67.709953
Albania,Central and Eastern Europe,95,4.959,0.35733000000000004,0.8043399999999999,0.05013,0.06412999999999999,0.81325,0.8786700000000001,0.20131294429302202,1.49044156074524,4.75246400639415,4.53553610041738,41.153332,20.168331
Algeria,Middle East and Northern Africa,68,5.605,0.28579,1.07772,0.05099,0.17382999999999998,0.61766,0.93929,0.0694366469979286,2.5676038265228303,5.978286433666941,5.76571400120854,28.033886,1.659626
Angola,Sub-Saharan Africa,137,4.033,0.10384000000000002,0.8604,0.047580000000000004,0.07122,0.16683,0.75778,0.09792649000883098,1.6144824028015101,3.9516419354081203,3.63835821717978,-11.202692,17.873887
Argentina,Latin America and Caribbean,30,6.574,0.44974,1.24823,0.04612,0.08484,0.78723,1.05351,0.109457060694695,2.61400532722473,6.690085086077451,6.50791486814618,-38.416097,-63.61667199999999
Armenia,Central and Eastern Europe,127,4.35,0.19847,0.7771100000000001,0.04763,0.039,0.7299,0.7682100000000001,0.0834880918264389,1.5214991569518999,4.46673461228609,4.28526524275541,40.069099,45.038189
Australia,Australia and New Zealand,10,7.284,0.6512399999999999,1.30923,0.04083,0.35636999999999996,0.93156,1.33358,0.47769924998283403,2.06521081924438,7.35665122494102,7.211348614841699,-25.274398,133.775136
Austria,Western Europe,13,7.2,0.62433,1.29704,0.03751,0.18675999999999998,0.8904200000000001,1.33723,0.316472321748734,2.1385064125061004,7.07066981211305,6.94133027181029,47.516231,14.550072
Azerbaijan,Central and Eastern Europe,80,5.212000000000001,0.3703,0.9379299999999999,0.03363,0.16065,0.64045,1.02389,0.0452693402767181,1.7624816894531203,5.29928653523326,5.168713876754049,40.143105,47.576927
Bahrain,Middle East and Northern Africa,49,5.96,0.45492,1.21624,0.05412,0.306,0.74716,1.32376,0.17266848683357197,1.65614938735962,6.17898906782269,5.995010718554259,26.0667,50.5577
Bangladesh,Southern Asia,109,4.694,0.4082,0.43106000000000005,0.03077,0.12569,0.60164,0.39753,0.17225535213947304,1.9787361621856698,4.68982165828347,4.52617794498801,23.684994,90.356331
Belarus,Central and Eastern Europe,59,5.813,0.37938,1.23289,0.03938,0.1909,0.7360800000000001,1.0319200000000002,0.15513750910759,1.72323298454285,5.64611424401402,5.49188529059291,53.709807,27.953389
Belgium,Western Europe,19,6.937,0.5845,1.28566,0.03595,0.2254,0.8966700000000001,1.30782,0.23150333762168898,2.12421035766602,6.95582075044513,6.8261788375675705,50.503887,4.469936
Benin,Sub-Saharan Africa,155,3.34,0.4845,0.35386,0.03656,0.0801,0.3191,0.28665,0.207948461174965,1.88563096523285,3.74578355133533,3.56821657836437,9.30769,2.315834
Bhutan,Southern Asia,79,5.252999999999999,0.5320600000000001,1.10395,0.03225,0.15445,0.57407,0.77042,0.474054545164108,1.14018440246582,5.07933456212282,4.94266575068235,27.514162,90.433601
Bolivia,Latin America and Caribbean,51,5.89,0.57414,0.97841,0.056420000000000005,0.08800000000000001,0.5392,0.68133,0.22556072473526,2.4432790279388397,5.9039769025146995,5.7420230059325705,-16.290154,-63.58865299999999
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.09245,0.9191600000000001,0.06913,0.00227,0.79081,0.8322299999999999,0.328867495059967,1.89217257499695,5.27633568674326,5.087664633691309,43.915886,17.679076
Botswana,Sub-Saharan Africa,128,4.332,0.49495,1.10464,0.049339999999999995,0.12474,0.047760000000000004,0.99355,0.0993484482169151,0.37791371345520003,3.8741226662695403,3.65787739858031,-22.328474,24.684866
Brazil,Latin America and Caribbean,16,6.983,0.49049,1.2328700000000001,0.040760000000000005,0.17521,0.69702,0.98124,0.16234989464282998,2.7692670822143595,6.725469501614571,6.5445309561491,-14.235004,-51.92528
Bulgaria,Central and Eastern Europe,134,4.218,0.30587,1.10614,0.04828,0.00872,0.76649,1.01216,0.113177694380283,0.996139287948608,4.8036947064101705,4.62430574372411,42.733883,25.48583
Burkina Faso,Sub-Saharan Africa,152,3.5869999999999997,0.39493,0.85188,0.04324,0.12832000000000002,0.27125,0.25811999999999996,0.250864684581757,1.72721290588379,4.1240590643882795,3.93994106531143,12.238333,-1.561593
Burundi,Sub-Saharan Africa,157,2.905,0.1185,0.41586999999999996,0.08657999999999999,0.10062,0.22396,0.0153,0.20443518459796897,1.68302416801453,3.07469033300877,2.73530960977077,-3.373056,29.918886
Cambodia,Southeastern Asia,145,3.819,0.66246,0.62736,0.05069,0.07247,0.61114,0.46038,0.385922968387604,1.04294109344482,4.27851781353354,4.05748262897134,12.565679,104.990963
Cameroon,Sub-Saharan Africa,133,4.252,0.49309,0.8876700000000001,0.04678,0.05786,0.23401999999999998,0.4225,0.23629845678806302,2.3336455821991,4.79654085725546,4.5934594860672995,7.369721999999999,12.354722
Canada,North America,5,7.4270000000000005,0.63297,1.32261,0.03553,0.32957,0.9056299999999999,1.32629,0.435539722442627,2.18726444244385,7.3844028353691105,7.24759713411331,56.130366,-106.346771
Central African Republic,Sub-Saharan Africa,148,3.678,0.48878999999999995,0.0,0.06112000000000001,0.08288999999999999,0.06699,0.0785,0.280876487493515,2.06600475311279,2.8648842692375203,2.52111588716507,6.611110999999999,20.939444
Chad,Sub-Saharan Africa,149,3.667,0.23501,0.76062,0.0383,0.05269,0.1501,0.34193,0.21611385047435802,2.07123804092407,4.0347115239501,3.8372886934876402,15.454166,18.732207
Chile,Latin America and Caribbean,27,6.67,0.44132,1.12447,0.057999999999999996,0.12869,0.85857,1.10715,0.3266624212265011,2.5095858573913596,6.739250560104849,6.5647493407130195,-35.675147,-71.542969
China,Eastern Asia,84,5.14,0.5169699999999999,0.94675,0.02424,0.02781,0.81658,0.89012,0.0288068410009146,1.76493859291077,5.319278089776629,5.2267214372009,35.86166,104.195397
Colombia,Latin America and Caribbean,33,6.477,0.53466,1.2401799999999998,0.05051,0.0512,0.69077,0.91861,0.14901447296142598,2.6160681247711204,6.45202005416155,6.26197969406843,4.570868,-74.297333
Comoros,Sub-Saharan Africa,140,3.9560000000000004,0.22916999999999998,0.79273,0.04797,0.19899999999999998,0.36315,0.23906,,,,,-11.6455,43.3333
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.41466000000000003,0.6629,0.06682,0.11685999999999999,0.31051,0.67866,0.12085212767124198,1.7241356372833299,4.41005350500345,4.17194627374411,-0.228021,15.827659
Congo (Kinshasa),Sub-Saharan Africa,120,4.5169999999999995,0.22605,1.0012,0.0368,0.07625,0.09806000000000001,0.0,0.246455833315849,2.22495865821838,4.357810832709069,4.20218958690763,-4.038333,21.758664
Costa Rica,Latin America and Caribbean,12,7.226,0.63376,1.2378799999999999,0.044539999999999996,0.10583,0.8602700000000001,0.95578,0.21461322903633104,2.89863920211792,7.16811166629195,6.989888326078651,9.748916999999999,-83.753428
Croatia,Central and Eastern Europe,62,5.7589999999999995,0.25883,0.79624,0.04394,0.0243,0.78805,1.08254,0.248002976179123,1.85449242591858,5.391777204573151,5.19422323793173,45.1,15.2000001
Cyprus,Western Europe,67,5.689,0.40671999999999997,0.89318,0.0558,0.06146,0.92356,1.20813,0.271254301071167,1.62124919891357,5.714692699313161,5.527306926846499,35.126413,33.429859
Czech Republic,Central and Eastern Europe,31,6.505,0.46363999999999994,1.20643,0.04168,0.02652,0.84483,1.17898,0.0881067588925362,2.45186185836792,6.6838624626398095,6.5341379493475,49.81749199999999,15.472962
Denmark,Western Europe,3,7.527,0.6493800000000001,1.36058,0.033280000000000004,0.48357,0.87464,1.32548,0.3552804887294771,2.31370735168457,7.58172806486487,7.46227160707116,56.26392,9.501785
Djibouti,Sub-Saharan Africa,126,4.369,0.46074,0.59207,0.08096,0.28105,0.36291,0.44025,,,,,11.825138,42.590275
Dominican Republic,Latin America and Caribbean,98,4.885,0.57672,1.17202,0.07446,0.14234000000000002,0.66825,0.8953700000000001,0.186967849731445,1.3194651603698702,5.34906088516116,5.110939152985809,18.735693,-70.162651
Ecuador,Latin America and Caribbean,48,5.975,0.48573999999999995,0.99903,0.04528,0.1809,0.79075,0.8640200000000001,0.15011246502399403,2.29035258293152,6.1058476753532895,5.910152118653059,-1.831239,-78.18340599999999
Egypt,Middle East and Northern Africa,135,4.194,0.17288,0.747,0.0326,0.06324,0.61712,0.8818,0.128631442785263,1.70216107368469,4.82513378962874,4.644866477400059,26.820553,30.802498
El Salvador,Latin America and Caribbean,42,6.13,0.4035,1.0250700000000001,0.056179999999999994,0.11775999999999999,0.67737,0.76454,0.0782579854130745,2.7145938873291002,6.108635122329,5.89736444279552,13.794185,-88.89653
Estonia,Central and Eastern Europe,73,5.428999999999999,0.44888,1.22791,0.04013,0.15184,0.77361,1.15174,0.0988908112049103,1.35750865936279,5.68813987419009,5.533860247880219,58.595272,25.0136071
Ethiopia,Sub-Saharan Africa,122,4.512,0.4345,0.60406,0.0378,0.15048,0.44055,0.19072999999999998,0.31265074014663696,2.01574373245239,4.54272867664695,4.377271399646999,9.145000000000001,40.489673
Finland,Western Europe,6,7.406000000000001,0.64169,1.31826,0.0314,0.41372,0.8891100000000001,1.29025,0.24548277258873,2.4301815032958998,7.52754207581282,7.41045764952898,,
France,Western Europe,29,6.575,0.55011,1.2603799999999998,0.03512,0.20646,0.9457899999999999,1.27778,0.129762306809425,2.00595474243164,6.515767802447081,6.36823202207685,46.227638,2.213749
Gabon,Sub-Saharan Africa,143,3.8960000000000004,0.31914000000000003,0.90528,0.04547,0.11091,0.43372,1.06024,0.0437853783369064,1.3229162693023702,4.5573617656529,4.37263853952289,-0.803689,11.609444
Georgia,Central and Eastern Europe,130,4.297,0.40576999999999996,0.38561999999999996,0.042210000000000004,0.38331,0.72926,0.7419,0.0540088154375553,1.50013780593872,4.37493396580219,4.19706558406353,32.1656221,-82.9000751
Germany,Western Europe,26,6.75,0.6147699999999999,1.2993700000000001,0.01848,0.21843,0.89186,1.32792,0.33626917004585305,2.01576995849609,7.00538156926632,6.89661885797977,51.165691,10.451526
Ghana,Sub-Saharan Africa,114,4.633,0.42341999999999996,0.6795399999999999,0.04742,0.04355,0.40131999999999995,0.5455800000000001,0.25692394375801103,1.57786750793457,4.22270720854402,4.01729256257415,7.946527,-1.023194
Greece,Western Europe,102,4.857,0.07699,0.9293299999999999,0.05062,0.013969999999999998,0.88213,1.15406,0.0,1.74922156333923,5.3252461694181,5.12875430360436,39.074208,21.824312
Guatemala,Latin America and Caribbean,43,6.122999999999999,0.57733,1.04356,0.052239999999999995,0.09472,0.64425,0.74553,0.283488392829895,2.89389109611511,6.56687397271395,6.34112601965666,15.783471,-90.23075899999999
Guinea,Sub-Saharan Africa,150,3.656,0.37725,0.46475,0.0359,0.12139000000000001,0.24009,0.17417,0.264815092086792,1.55231189727783,3.58442812889814,3.4295718100667,9.945587,-9.696645
Haiti,Latin America and Caribbean,119,4.518,0.24425,0.74302,0.07331,0.17175,0.38847,0.26673,0.48920378088951094,1.69716763496399,3.73471479773521,3.4712850534915902,18.971187,-72.285215
Honduras,Latin America and Caribbean,105,4.788,0.40148,0.9534799999999999,0.056479999999999995,0.06825,0.6951,0.59532,0.23618887364864302,2.0658111572265603,5.30158279687166,5.0604176685214,15.199999,-86.241905
Hong Kong,Eastern Asia,72,5.474,0.59608,1.05818,0.05051,0.37124,1.01328,1.38604,,,,,22.396428,114.109497
Hungary,Central and Eastern Europe,104,4.8,0.32111999999999996,1.20215,0.061070000000000006,0.02758,0.75905,1.12094,0.0784016624093056,1.7164592742919902,5.4030397091805895,5.24496005430818,47.162494,19.5033041
Iceland,Western Europe,2,7.561,0.6287699999999999,1.4022299999999999,0.048839999999999995,0.14145,0.94784,1.3023200000000001,0.47554022073745705,2.32271528244019,7.62203047305346,7.38596990078688,64.963051,-19.020835
India,Southern Asia,117,4.565,0.39786,0.38174,0.02043,0.08492000000000001,0.5152899999999999,0.64499,0.23153848946094502,1.5191171169281,4.37152201749384,4.25847809694707,20.593684,78.96288
Indonesia,Southeastern Asia,74,5.399,0.46611,1.0870799999999998,0.025960000000000004,0.0,0.63793,0.8282700000000001,0.611704587936401,1.42947697639465,5.35288859814405,5.17111156970263,-0.789275,113.921327
Iran,Middle East and Northern Africa,110,4.686,0.30033000000000004,0.54447,0.044489999999999995,0.058629999999999995,0.69805,1.0088,0.387242913246155,1.49873495101929,4.79822470769286,4.585775116831059,32.427908,53.688046
Iraq,Middle East and Northern Africa,112,4.677,0.0,0.81889,0.052320000000000005,0.13788,0.60237,0.98549,0.19963726401329,1.31890726089478,4.62259140968323,4.37140902519226,33.223191,43.679291
Ireland,Western Europe,18,6.94,0.6177699999999999,1.36948,0.03676,0.28703,0.89533,1.33596,0.42785832285881,1.77386903762817,7.043351667523379,6.91064880549908,53.1423672,-7.692053599999999
Israel,Middle East and Northern Africa,11,7.278,0.41318999999999995,1.22393,0.0347,0.07785,0.9138700000000001,1.2285700000000002,0.330082654953003,2.80175733566284,7.279853256493809,7.14614638492465,31.046051,34.851612
Italy,Western Europe,50,5.9479999999999995,0.26236,1.19777,0.03914,0.02901,0.9544600000000001,1.25114,0.17278964817523998,1.81331205368042,6.04273690596223,5.88526354417205,41.87194,12.56738
Ivory Coast,Sub-Saharan Africa,151,3.655,0.46866,0.77115,0.051410000000000004,0.17922000000000002,0.15185,0.46534,0.201237469911575,1.84496426582336,4.27518256321549,4.0848170934617505,7.539988999999999,-5.547079999999999
Jamaica,Latin America and Caribbean,65,5.709,0.50442,1.1510200000000002,0.13693,0.02299,0.6874100000000001,0.81038,0.23381833732128102,1.61232566833496,5.581398728489879,5.04060101211071,18.109581,-77.297508
Japan,Eastern Asia,46,5.987,0.49615,1.25712,0.03581,0.1806,0.99111,1.27074,0.12057276815175999,1.36322355270386,5.99071944460273,5.8492807079851605,36.204824,138.252924
Jordan,Middle East and Northern Africa,82,5.192,0.40660999999999997,1.05392,0.045239999999999995,0.14293,0.69639,0.9019799999999999,0.17217046022415197,1.79117655754089,5.448410022407769,5.223589908927679,37.9973704,-97.3342624
Kazakhstan,Central and Eastern Europe,54,5.855,0.51649,1.1224100000000001,0.041139999999999996,0.08454,0.64368,1.1225399999999999,0.20196442306041698,1.7848925590515101,5.90364177465439,5.73435775995255,48.019573,66.923684
Kenya,Sub-Saharan Africa,125,4.419,0.42215,0.99876,0.04734,0.05839,0.41435,0.36471,0.444860309362411,1.6519021987915001,4.65569159060717,4.450308355987071,-0.023559,37.906193
Kosovo,Central and Eastern Europe,69,5.5889999999999995,0.24749000000000002,0.81198,0.05018,0.04741,0.63132,0.80148,0.319931447505951,2.0105407238006596,5.36484799548984,5.19315161541104,42.6026359,20.902977
Kuwait,Middle East and Northern Africa,39,6.295,0.55499,1.16594,0.04456,0.25609,0.72492,1.5542200000000002,0.228289797902107,1.64042520523071,6.1919569888711,6.01804304927588,29.31166,47.481766
Kyrgyzstan,Central and Eastern Europe,77,5.2860000000000005,0.43477,1.15115,0.03823,0.042319999999999997,0.65088,0.47428000000000003,0.42858037352562,1.5367231369018601,5.089919903129339,4.918080470710991,41.20438,74.766098
Laos,Southeastern Asia,99,4.876,0.59591,0.73803,0.06698,0.24249,0.54909,0.5906600000000001,,,,,19.85627,102.495496
Latvia,Central and Eastern Europe,89,5.098,0.29671,1.09562,0.0464,0.06332,0.72437,1.11312,0.153074786067009,1.9936552047729499,5.9202635382115805,5.77973627105355,56.879635,24.603189
Lebanon,Middle East and Northern Africa,103,4.8389999999999995,0.33916,0.80001,0.04337,0.04582,0.83947,1.0256399999999999,0.26445075869560203,1.69507384300232,5.31888228848577,5.1311175207793704,33.854721,35.862285
