Country,Region,Happiness_Rank,Happiness_Score,Freedom,Family,Standard_Error,Trust(Government_Corruption),Health(Life_Expectancy),Economy(GDP_per_capita),Generosity,Dystopia_Residual,Whisker_high,Whisker_low,Lat,Lng
Lesotho,Sub-Saharan Africa,97,4.898,0.31767,1.04103,0.09437999999999999,0.12504,0.07612000000000001,0.37545,0.157497271895409,1.42983531951904,4.04434397548437,3.5716561999917,-29.609988,28.233608
Liberia,Sub-Saharan Africa,116,4.571000000000001,0.28531,0.78968,0.11068,0.06232000000000001,0.34201,0.0712,0.26654988527298,1.6732859611511202,3.6537562608718903,3.4122437238693197,6.428055,-9.429499000000002
Libya,Middle East and Northern Africa,63,5.754,0.41668,1.1186200000000002,0.07832,0.11023,0.7038,1.13145,0.15207366645336198,1.8350112438201898,5.6769538068771395,5.373046383857731,26.3351,17.228331
Lithuania,Central and Eastern Europe,56,5.832999999999999,0.21341999999999997,1.25745,0.03843,0.01031,0.73128,1.14723,0.010164656676352,2.22844052314758,5.982669641375541,5.82133025944233,55.169438,23.881275
Luxembourg,Western Europe,17,6.946000000000001,0.61583,1.21963,0.03499,0.37798000000000004,0.91894,1.5639100000000001,0.283180981874466,1.61951208114624,6.923686099871991,6.80231373228133,49.815273,6.129582999999999
Macedonia,Central and Eastern Europe,93,5.007,0.33457,1.00232,0.05376,0.053270000000000005,0.73545,0.91851,0.25376096367836,1.6174693107605,5.27217263966799,5.07782774180174,41.608635,21.745275
Madagascar,Sub-Saharan Africa,147,3.681,0.19184,0.66801,0.03633,0.08123999999999999,0.46721,0.20824,0.208732530474663,1.58461260795593,3.7143191058933698,3.57368100091815,-18.766947,46.869107
Malawi,Sub-Saharan Africa,131,4.292,0.43054,0.41134,0.0613,0.06977,0.22562,0.016040000000000002,0.28717046976089505,2.08178615570068,4.07747881740332,3.86252123981714,-13.254308,34.301525
Malaysia,Southeastern Asia,61,5.77,0.5302399999999999,1.07023,0.0433,0.10500999999999999,0.7239399999999999,1.12486,0.416608929634094,2.00444889068604,6.179979636520151,5.988020584732291,4.210484,101.975766
Mali,Sub-Saharan Africa,138,3.995,0.38856999999999997,1.03526,0.05602000000000001,0.12352,0.20583,0.26074,0.183354198932648,1.66819095611572,4.26967071101069,4.110329403430221,17.570692,-3.996166
Malta,Western Europe,37,6.3020000000000005,0.60365,1.30203,0.04206,0.13585999999999998,0.88721,1.2074,0.5747305750846861,1.55686283111572,6.598396772891281,6.455603127926589,35.937496,14.375416
Mauritania,Sub-Saharan Africa,124,4.436,0.24231999999999998,0.86908,0.03947,0.17461,0.35874,0.45407,0.201870024204254,1.65163731575012,4.37716361626983,4.20683601751924,21.00789,-10.940835
Mauritius,Sub-Saharan Africa,71,5.477,0.56066,0.98521,0.07197,0.07521,0.7095,1.0076100000000001,0.360933750867844,1.6975839138031,5.72986219167709,5.528138182163239,-20.348404,57.55215200000001
Mexico,Latin America and Caribbean,14,7.187,0.48181,0.91451,0.041760000000000005,0.21311999999999998,0.8144399999999999,1.02054,0.12099043279886199,2.8371548652648904,6.67114890769124,6.48485122963786,23.634501,-102.552784
Moldova,Central and Eastern Europe,52,5.888999999999999,0.32818,1.01528,0.037989999999999996,0.01615,0.61826,0.59448,0.20877912640571603,2.80780839920044,5.90837083846331,5.767628802955151,47.411631,28.369885
Mongolia,Eastern Asia,100,4.874,0.43626000000000004,1.3006,0.03313,0.026660000000000003,0.60268,0.82819,0.338464230298996,1.1112923622131299,5.021679509133099,4.88832033827901,46.862496,103.846656
Montenegro,Central and Eastern Europe,82,5.192,0.1826,0.9055700000000001,0.05235,0.14296,0.72521,0.9743799999999999,0.197911024093628,1.72919154167175,5.34104444056749,5.132955536544321,42.708678,19.37439
Morocco,Middle East and Northern Africa,92,5.013,0.41691000000000006,0.64095,0.0342,0.08546000000000001,0.60954,0.7347899999999999,0.0322099551558495,2.45618939399719,5.31834096476436,5.15165930226445,31.791702,-7.092619999999999
Mozambique,Sub-Saharan Africa,94,4.971,0.34037,1.02626,0.07896,0.15603,0.09131,0.08308,0.322228103876114,2.3556509017944305,4.774102326333519,4.3258980551362,-18.665695,35.529562
Myanmar,Southeastern Asia,129,4.3069999999999995,0.44017,0.70905,0.04351,0.19034,0.48246000000000006,0.27108000000000004,0.8380751609802249,1.11529040336609,4.61473994642496,4.47526020616293,21.916221,95.955974
Nepal,Southern Asia,121,4.513999999999999,0.38282,0.86449,0.03607,0.059070000000000004,0.5687399999999999,0.35996999999999996,0.39409616589546204,1.8912410736084,5.06735607936978,4.856643707007169,28.394857,84.12400799999999
Netherlands,Western Europe,7,7.377999999999999,0.6157600000000001,1.28017,0.027989999999999998,0.31814000000000003,0.89284,1.32944,0.47048982977867104,2.29480409622192,7.42742584124207,7.32657386884093,52.132633,5.291265999999999
New Zealand,Australia and New Zealand,9,7.2860000000000005,0.6393800000000001,1.3196700000000001,0.033710000000000004,0.42922,0.9083700000000001,1.2501799999999998,0.500005125999451,2.0464563369751,7.3795104418695,7.24848981752992,-40.900557,174.885971
Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.55475,1.14184,0.05371,0.19317,0.7431399999999999,0.59325,0.301674216985703,2.51393055915833,6.186583600342269,5.955416598021981,12.865416,-85.207229
Niger,Sub-Saharan Africa,144,3.845,0.47691999999999996,0.77265,0.036019999999999996,0.15639,0.29707,0.0694,0.22867384552955602,1.87398338317871,4.11194681972265,3.9440529361367203,17.607789,8.081666
Nigeria,Sub-Saharan Africa,78,5.268,0.34334000000000003,0.9043200000000001,0.04192,0.0403,0.16007000000000002,0.65435,0.23094719648361198,2.36539053916931,5.209500135481361,4.93849962800741,9.081999,8.675277
North Cyprus,Western Europe,66,5.695,0.49027,1.07008,0.05635,0.1428,0.92356,1.2080600000000001,0.266845703125,1.5491576194763201,5.89736646488309,5.722633420675991,35.2480359,33.6577243
Norway,Western Europe,4,7.522,0.66973,1.33095,0.0388,0.36503,0.88521,1.459,0.36201223731041,2.27702665328979,7.59444482058287,7.47955553799868,60.47202399999999,8.468945999999999
Oman,Middle East and Northern Africa,22,6.853,0.63274,1.08182,0.05335,0.32524000000000003,0.76276,1.36011,,,,,21.4735329,55.975413
Pakistan,Southern Asia,81,5.194,0.12102,0.41411000000000003,0.03726,0.10464000000000001,0.51466,0.59543,0.31544601917266807,2.7924892902374303,5.35998364135623,5.17801646545529,30.375321,69.34511599999999
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.24499,0.92558,0.04394,0.12905,0.66015,0.59867,0.114173173904419,1.8788902759552,4.88184834256768,4.66815184816718,31.952162,35.233154
Panama,Latin America and Caribbean,25,6.7860000000000005,0.5421,1.1985,0.0491,0.0927,0.79661,1.0635299999999999,0.21055693924427,2.30719995498657,6.55713071614504,6.346869566142559,8.537981,-80.782127
Paraguay,Latin America and Caribbean,53,5.877999999999999,0.53899,1.30477,0.045630000000000004,0.08242000000000001,0.66098,0.75985,0.224150657653809,1.6853334903716999,5.57738126963377,5.4086187914013895,-23.442503,-58.443832
Peru,Latin America and Caribbean,58,5.824,0.41496000000000005,0.97459,0.04615,0.05989,0.73017,0.9001899999999999,0.126819714903831,2.2072694301605202,5.81194677859545,5.61805352658033,-9.189967,-75.015152
Philippines,Southeastern Asia,90,5.073,0.62545,1.03516,0.049339999999999995,0.12279000000000001,0.58114,0.70532,0.193513423204422,1.9726047515869098,5.54533505424857,5.31466460242867,12.879721,121.774017
Poland,Central and Eastern Europe,60,5.791,0.53122,1.27948,0.04263,0.04212,0.77903,1.12555,0.158465966582298,1.7977228164672898,6.05390834122896,5.892091757953169,51.919438,19.145136
Portugal,Western Europe,88,5.102,0.51469,1.13935,0.04802,0.01078,0.8751899999999999,1.15991,0.0951027125120163,1.10768270492554,5.285041733086111,5.10495861023665,39.39987199999999,-8.224454
Qatar,Middle East and Northern Africa,28,6.611000000000001,0.6404,1.0786,0.06257,0.52208,0.79733,1.69042,0.33047387003898604,1.1454644203186002,6.56847681432962,6.18152318567038,25.354826,51.183884
Romania,Central and Eastern Europe,86,5.124,0.35068,0.8858799999999999,0.06607,0.006490000000000001,0.7689,1.04345,0.133519917726517,2.17683148384094,5.91969415679574,5.73030546173453,45.943161,24.96676
Russia,Central and Eastern Europe,64,5.716,0.36679,1.23617,0.03135,0.03005,0.6692600000000001,1.13764,0.0522638224065304,2.20560741424561,6.03027490749955,5.89572473391891,61.52401,105.318756
Rwanda,Sub-Saharan Africa,154,3.465,0.59201,0.7737,0.03464,0.55191,0.42863999999999997,0.22208000000000003,0.25275602936744695,0.540061235427856,3.54303023353219,3.3989696787297703,-1.940278,29.873888
Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.31048000000000003,1.0839299999999998,0.04633,0.32524000000000003,0.72025,1.39541,0.147616013884544,2.0654296875,6.444166612029081,6.24383311331272,23.885942,45.079162
Senegal,Sub-Saharan Africa,142,3.904,0.36772,0.97619,0.03608,0.10712999999999999,0.4354,0.36498,0.183468893170357,1.78964614868164,4.6016037812829005,4.468395913541321,14.497401,-14.452362
Serbia,Central and Eastern Europe,87,5.122999999999999,0.20107,1.0096399999999999,0.048639999999999996,0.02617,0.74836,0.92053,0.22012588381767298,1.94708442687988,5.491569656133651,5.298430305719379,44.016521,21.005859
Sierra Leone,Sub-Saharan Africa,123,4.507,0.4084,0.9557100000000001,0.07067999999999999,0.08786000000000001,0.0,0.33024000000000003,0.293040901422501,2.66845989227295,4.85064333498478,4.56735688626766,8.460555,-11.779889
Singapore,Southeastern Asia,24,6.797999999999999,0.54252,1.02,0.0378,0.4921,1.02525,1.52186,0.345965981483459,1.2163619995117199,6.636723069101571,6.507276984304191,1.352083,103.819836
Slovakia,Central and Eastern Europe,45,5.995,0.31751,1.26999,0.04267,0.03431,0.7890199999999999,1.1689100000000001,0.136544480919838,2.09777665138245,6.1773484121263005,6.01865168705583,48.669026,19.699024
Slovenia,Central and Eastern Europe,55,5.848,0.60855,1.27385,0.04251,0.03787,0.8733700000000001,1.18498,0.242649093270302,1.31331729888916,5.84222516000271,5.673774634003639,46.151241,14.995463
Somaliland region,Sub-Saharan Africa,91,5.0569999999999995,0.46581999999999996,0.95152,0.061610000000000005,0.39928,0.43873,0.18847,,,,,9.411743399999999,46.8252838
South Africa,Sub-Saharan Africa,113,4.6419999999999995,0.33207,1.18468,0.04585,0.08884,0.27688,0.9204899999999999,0.13936237990856198,1.51090860366821,4.92943518772721,4.72856480464339,-30.559482,22.937506
South Korea,Eastern Asia,47,5.984,0.33208000000000004,0.9577399999999999,0.04098,0.07857,0.9653799999999999,1.24461,0.206674367189407,1.8803780078887902,5.922559028267861,5.7534406131506,35.907757,127.766922
Spain,Western Europe,36,6.329,0.45951000000000003,1.31379,0.03468,0.06398,0.95562,1.23011,0.190133571624756,1.92775774002075,6.471054845303299,6.33494491055608,40.46366700000001,-3.74922
Sri Lanka,Southern Asia,132,4.271,0.5372600000000001,1.01905,0.03751,0.09179,0.70806,0.83524,0.49086356163024897,0.41938924789428705,4.55344719231129,4.32655292212963,7.873053999999999,80.77179699999999
Sudan,Sub-Saharan Africa,118,4.55,0.10081,1.01404,0.0674,0.1466,0.36878,0.52107,0.182317450642586,1.6870658397674598,4.34574716508389,3.9322527128458,12.862807,30.217636
Suriname,Latin America and Caribbean,40,6.269,0.5965699999999999,0.972,0.09811,0.13633,0.6082,0.99534,,,,,3.919305,-56.027783
Swaziland,Sub-Saharan Africa,101,4.867,0.30658,1.07284,0.08742,0.0306,0.07566,0.71206,,,,,-26.522503,31.465866
Sweden,Western Europe,8,7.364,0.6598,1.2890700000000002,0.03157,0.43843999999999994,0.9108700000000001,1.33171,0.38539925217628496,2.09753799438477,7.34409487739205,7.22390496239066,60.12816100000001,18.643501
Switzerland,Western Europe,1,7.587000000000001,0.66557,1.34951,0.03411,0.41978000000000004,0.9414299999999999,1.3965100000000001,0.29054927825927696,2.2767162322998,7.56177242040634,7.42622749567032,46.818188,8.227511999999999
Syria,Middle East and Northern Africa,156,3.0060000000000002,0.15684,0.47489,0.05015,0.18905999999999998,0.7219300000000001,0.6632,0.49366372823715204,1.06157350540161,3.66366855680943,3.2603312295675297,34.80207499999999,38.996815
Taiwan,Eastern Asia,38,6.297999999999999,0.3974,1.07617,0.03868,0.08129,0.8753,1.29098,,,,,23.69781,120.960515
Tajikistan,Central and Eastern Europe,106,4.7860000000000005,0.47216,0.8556299999999999,0.03198,0.15072,0.5737899999999999,0.39047,0.24899764358997303,1.8490493297576898,5.11142559587956,4.970574182868,38.861034,71.276093
Tanzania,Sub-Saharan Africa,146,3.781,0.32878,1.00268,0.05061,0.05747000000000001,0.38215,0.2852,0.354256361722946,0.621130466461182,3.4614297553896898,3.23657019883394,-6.369028,34.888822
Thailand,Southeastern Asia,34,6.455,0.5566399999999999,1.26504,0.03557,0.031869999999999996,0.7385,0.9669,0.572123110294342,2.03950834274292,6.50911685571074,6.33888271704316,15.870032,100.992541
Togo,Sub-Saharan Africa,158,2.839,0.36453,0.13995,0.06727000000000001,0.10730999999999999,0.28443,0.20868,0.19689615070819896,1.8372292518615703,3.59403811171651,3.39596165940166,8.619543,0.824782
Trinidad and Tobago,Latin America and Caribbean,41,6.167999999999999,0.55884,1.18354,0.10895,0.0114,0.61483,1.21183,0.32529646158218395,2.0532474517822297,6.3815338906645795,5.95446655184031,10.691803,-61.222503
Tunisia,Middle East and Northern Africa,107,4.739,0.26268,0.60429,0.03589,0.06358,0.73793,0.88113,0.0496933571994305,1.8902511596679699,4.88436700701714,4.725632649660111,33.886917,9.537499
Turkey,Middle East and Northern Africa,76,5.332000000000001,0.22815,0.94632,0.03864,0.15746,0.73172,1.06098,0.0466930419206619,1.87927794456482,5.59486496329308,5.40513503670692,38.963745,35.243322
Turkmenistan,Central and Eastern Europe,70,5.547999999999999,0.4761,1.22668,0.04175,0.30844,0.53886,0.95847,0.24992498755454998,1.83290982246399,5.885180875509981,5.758819177895781,38.969719,59.556278
Uganda,Sub-Saharan Africa,141,3.931,0.45726999999999995,1.13299,0.04317,0.07267,0.33860999999999997,0.21101999999999999,0.32576605677604703,1.526362657547,4.19579996705055,3.9661997354030603,1.373333,32.290275
Ukraine,Central and Eastern Europe,111,4.681,0.25123,1.20278,0.04412,0.02961,0.6739,0.79907,0.270061463117599,0.8143823146820072,4.18541010454297,4.006590284556149,48.379433,31.1655799
United Arab Emirates,Middle East and Northern Africa,20,6.901,0.64157,1.12575,0.03729,0.38583,0.80925,1.42727,0.3609419465065,1.734703540802,6.72204730376601,6.57395222321153,23.424076,53.847818
United Kingdom,Western Europe,21,6.867000000000001,0.59625,1.28548,0.01866,0.32066999999999996,0.90943,1.26637,0.492774158716202,1.7041435241699199,6.78379176110029,6.64420868903399,55.378051,-3.435973
United States,North America,15,7.119,0.54604,1.24711,0.03839,0.1589,0.86179,1.3945100000000001,0.392578780651093,2.2181134223937997,7.07465674757957,6.91134331345558,37.09024,-95.712891
Uruguay,Latin America and Caribbean,32,6.485,0.6036199999999999,1.2089,0.04539,0.24558000000000002,0.8116,1.06166,0.175096929073334,2.17240953445435,6.54590621769428,6.36209377467632,-32.522779,-55.765835
Uzbekistan,Central and Eastern Europe,44,6.002999999999999,0.6582100000000001,1.34043,0.04361,0.30826,0.59772,0.63244,0.41598364710807795,1.8169136047363301,6.06553757295012,5.876462816149,41.377491,64.585262
Venezuela,Latin America and Caribbean,23,6.81,0.42908,1.25596,0.06476,0.11069000000000001,0.7205199999999999,1.04424,0.0650196298956871,1.78946375846863,5.370031945556399,5.1299680544436,6.42375,-66.58973
Vietnam,Southeastern Asia,75,5.36,0.59444,0.9122600000000001,0.03107,0.10440999999999999,0.7467600000000001,0.63216,0.23496805131435397,1.46231865882874,5.14728076457977,5.000718998909,14.058324,108.277199
Yemen,Middle East and Northern Africa,136,4.077,0.35570999999999997,0.68093,0.04367,0.07854,0.40064,0.5464899999999999,0.104125209152699,1.3456006050109899,3.6927503198385203,3.4932495504617704,15.552727,48.516388
Zambia,Sub-Saharan Africa,85,5.129,0.48827,0.91612,0.06988,0.12468,0.29924,0.47038,0.249580144882202,1.82670545578003,4.64410550147295,4.38389437645674,-13.133897,27.849332
Zimbabwe,Sub-Saharan Africa,115,4.61,0.25861,1.0327600000000001,0.0429,0.08079,0.33475,0.271,0.189143493771553,1.59797024726868,3.97869964271784,3.77130035728216,-19.015438,29.154857
